"GLACIER_ID","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003"
"G006106E45244N_0_SMB","-0.3264135","0.1050707","-0.3203944","-0.1077996","-1.2616973","-0.3994747","-0.8815833","-0.7221779","-0.0845554","-1.4094133","0.5548515","0.9132276","0.2264331","0.8921061","0.4848377","0.2140974","-0.1023777","0.5783546","-0.1911142","-1.3610828","0.2386555","0.1473243","-1.8076143","-1.6476779","-0.6366453","-0.8679142","-0.5542594","-0.3990319","0.9680419","-0.1829828","-0.7355497","-1.5182295","-0.905981","-1.0116527","0.1722107","-1.6468775","-3.5857706"
"G006109E44936N_3361_SMB","-0.687711","0.2975057","-0.1267226","-0.4751215","-0.5493703","-0.0784051","-1.0610714","-0.8418101","0.0219426","-0.9307483","0.3835719","0.5048856","-0.2947728","0.2867505","-0.0899178","-0.2344536","-0.3320442","0.4242188","-0.2934154","-1.1756892","-0.3007534","0.0561216","-1.4127162","-0.9903017","-0.8136901","-0.636003","-0.5720948","-0.2995535","0.3466883","0.0219275","-0.3601594","-1.2950058","-0.5128671","-0.7130542","0.6052305","-0.1269828","-2.3349509"
"G006110E44916N_3805_SMB.","-1.2118924","0.2490205","-0.4165955","-0.834058","-0.9484614","-0.0856442","-1.3877301","-1.1599145","0.1476126","-1.2218851","0.4375407","0.534202","-0.6233841","0.2120482","-0.2479811","-0.3015527","-0.5022489","0.5988393","-0.5664392","-1.3560183","-0.5631763","0.0166216","-1.5661783","-1.3008579","-1.037877","-0.7780882","-0.7479857","-0.6462607","0.3613929","-0.5035509","-0.7875421","-1.6919713","-0.6830674","-1.0619539","0.6417387","-0.6378733","-2.7691207"
"G006110E44916N_3806_SMB","-1.4661266","0.1345241","-0.6335091","-1.0672029","-1.1554358","-0.2822103","-1.7149097","-1.4789882","0.0326175","-1.5108755","0.6226647","0.6134554","-0.6369684","0.3817545","-0.2033759","-0.3273948","-0.6377938","0.5584694","-0.7443027","-1.4641395","-0.4644897","0.0443061","-1.7198405","-1.8158431","-1.1989706","-0.9388101","-0.7670893","-0.3458896","0.4074641","-0.8694295","-0.8234416","-1.8572072","-0.7365087","-1.0539933","0.548834","-1.3132662","-2.7511687"
"G006111E44929N_3516_SMB","-0.9638387","0.2990621","-0.1756523","-0.7378954","-0.6417971","0.0279294","-1.0006609","-0.9540892","0.1244687","-1.0741327","0.5174174","0.4290164","-0.4642102","0.0364156","-0.3357845","-0.2913951","-0.2776572","0.442475","-0.4571153","-1.2241405","-0.3833701","-0.089651","-1.5454434","-0.8580045","-0.7661129","-0.8011893","-0.550088","-0.1859983","0.3638481","-0.0452661","-0.2564937","-1.3477125","-0.4330772","-0.7922283","0.7008388","-0.2726474","-2.4014785"
"G006112E44909N_3310_SMB","-1.1216909","0.1984406","-0.488228","-0.8025181","-0.9122628","-0.0599812","-1.4489787","-1.0034944","0.1206049","-1.0559926","0.332964","0.4442522","-0.6640689","0.1402048","-0.3307783","-0.3357386","-0.4515889","0.5830815","-0.400512","-1.3490368","-0.5757924","-0.0144899","-1.4750832","-1.1286514","-1.0557609","-0.7272739","-0.6652611","-0.5623387","0.3998498","-0.2830575","-0.6069883","-1.5660669","-0.6005592","-0.9878969","0.6494874","-0.2863897","-2.5737772"
"G006112E44925N_3472_SMB","-0.9797226","0.3176965","-0.1594821","-0.7501393","-0.5520785","-0.0421172","-1.399941","-1.0080833","0.1478379","-1.0455269","0.6150953","0.5595098","-0.296473","0.2414795","-0.2005299","-0.2039871","-0.2707841","0.3834798","-0.5141889","-1.2552965","-0.3437427","0.0488175","-1.5948627","-1.0808146","-0.6987953","-0.7899781","-0.5526083","-0.2430591","0.3710051","-0.107136","-0.3409004","-1.4927454","-0.4819211","-0.8751929","0.881328","-0.5710079","-2.5840869"
"G006114E44934N_3306_SMB","-1.1481454","0.2839434","-0.3396416","-0.8705336","-0.6886321","0.0005959","-1.3618454","-1.0727513","0.1914582","-1.0940132","0.4610389","0.4043206","-0.5910008","0.0459909","-0.5302036","-0.3545444","-0.2685809","0.5418248","-0.4327847","-1.3069056","-0.4301668","-0.01662","-1.524019","-0.9959609","-0.787552","-0.8667725","-0.5652627","-0.1853146","0.4084269","-0.1608301","-0.3128496","-1.431662","-0.4016311","-0.8627392","0.7617076","-0.3647553","-2.5160565"
"G006114E44936N_3436_SMB","-1.0937603","0.2791809","-0.3513863","-0.9158763","-0.7475573","-0.0954277","-1.5407686","-1.1490862","0.1237988","-1.2297835","0.662002","0.5558642","-0.438885","0.2584614","-0.2084288","-0.1909726","-0.3070104","0.400999","-0.6271829","-1.3282316","-0.4690188","0.0132735","-1.640728","-1.2501442","-0.7696846","-0.8947163","-0.5848393","-0.2822724","0.3394651","-0.2774656","-0.4305611","-1.6019645","-0.6080229","-0.9463053","0.8875372","-0.8069568","-2.6886909"
"G006115E44905N_3289_SMB","-0.8166966","0.2601715","-0.5983012","-0.6278369","-0.9749218","-0.1269433","-1.5673031","-1.0466157","0.1533402","-1.3117282","0.698055","0.6349532","-0.1604718","0.4034637","0.0795175","-0.198279","-0.3493029","0.3505489","-0.5449749","-1.4184306","-0.5229407","0.0351845","-1.5142846","-1.3604332","-0.7288458","-0.6649965","-0.5854698","-0.4803935","0.5491031","-0.1840641","-0.7683818","-1.7973971","-0.7960191","-1.3208684","0.5945954","-1.6770763","-3.1018131"
